,Altitude,Alt Unit,Datetime
0,,,2024-09-09 02:21:14
1,,,2024-09-09 02:21:15
2,,,2024-09-09 02:21:16
3,,,2024-09-09 02:21:17
4,,,2024-09-09 02:21:17
5,,,2024-09-09 02:21:19
6,,,2024-09-09 02:21:20
7,,,2024-09-09 02:21:21
8,,,2024-09-09 02:21:22
9,,,2024-09-09 02:21:23
10,,,2024-09-09 02:21:24
11,,,2024-09-09 02:21:25
12,,,2024-09-09 02:21:26
13,,,2024-09-09 02:21:27
14,,,2024-09-09 02:21:28
15,,,2024-09-09 02:21:29
16,,,2024-09-09 02:21:30
17,,,2024-09-09 02:21:31
18,56.1,M,2024-09-09 02:21:32
19,56.0,M,2024-09-09 02:21:33
20,55.9,M,2024-09-09 02:21:34
21,55.6,M,2024-09-09 02:21:35
22,54.8,M,2024-09-09 02:21:36
23,54.4,M,2024-09-09 02:21:37
24,54.0,M,2024-09-09 02:21:38
25,53.9,M,2024-09-09 02:21:39
26,53.5,M,2024-09-09 02:21:40
27,53.2,M,2024-09-09 02:21:41
28,52.9,M,2024-09-09 02:21:42
29,52.8,M,2024-09-09 02:21:43
30,53.0,M,2024-09-09 02:21:44
31,52.8,M,2024-09-09 02:21:45
32,53.1,M,2024-09-09 02:21:46
33,53.5,M,2024-09-09 02:21:47
34,53.6,M,2024-09-09 02:21:48
35,53.9,M,2024-09-09 02:21:49
36,53.9,M,2024-09-09 02:21:50
37,53.6,M,2024-09-09 02:21:51
38,54.4,M,2024-09-09 02:21:52
39,54.4,M,2024-09-09 02:21:53
40,54.8,M,2024-09-09 02:21:54
41,54.9,M,2024-09-09 02:21:55
42,55.0,M,2024-09-09 02:21:56
43,54.6,M,2024-09-09 02:21:57
44,54.7,M,2024-09-09 02:21:58
45,54.3,M,2024-09-09 02:21:59
46,54.4,M,2024-09-09 02:22:00
47,54.2,M,2024-09-09 02:22:01
48,53.8,M,2024-09-09 02:22:02
49,53.8,M,2024-09-09 02:22:03
50,53.7,M,2024-09-09 02:22:04
51,53.9,M,2024-09-09 02:22:05
52,54.0,M,2024-09-09 02:22:06
53,53.6,M,2024-09-09 02:22:07
54,53.5,M,2024-09-09 02:22:08
55,53.2,M,2024-09-09 02:22:09
56,53.1,M,2024-09-09 02:22:10
57,53.4,M,2024-09-09 02:22:11
58,53.7,M,2024-09-09 02:22:12
59,53.5,M,2024-09-09 02:22:13
